sequencing information of APGp1 individuals,,,,,,,,,,,,,
PopulationID,Population,Family ID,Offspring ID,HiFi platform,HiFi cov. (¡Á),HiFi N50 (Kbp),ONT platform,ONT flow cell version,ONT cov. (¡Á),ONT N50 (Kbp),UL-ONT cov. (¡Á),UL-ONT N50 (Kbp),Note
CUG,Uyghur,C110-CUG02,C110-CUG02-01,PacBio Revio,54.7 ,18.5 ,PromethION,R10.4.1,195.2 ,77 ,75.3 ,159,
CUG,Uyghur,C111-CUG03,C111-CUG03-01,PacBio Revio,56.3 ,19.6 ,PromethION,R10.4.1,23.4 ,87 ,10.3 ,169,
CUG,Uyghur,C112-CUG04,C112-CUG04-01,PacBio Revio,49.7 ,17.4 ,PromethION,R10.4.1,162.7 ,82 ,69.0 ,174,
CUG,Uyghur,C113-CUG05,C113-CUG05-01,PacBio Revio,52.0 ,20.4 ,PromethION,R10.4.1,162.7 ,84 ,71.0 ,181,
CMG,Mongol,C114-CMG01,C114-CMG01-01,PacBio Revio,52.7 ,18.3 ,PromethION,R10.4.1,173.1 ,85 ,75.7 ,172,
CMG,Mongol,C115-CMG02,C115-CMG02-01,PacBio Revio,48.7 ,18.3 ,PromethION,R10.4.1,147.3 ,92 ,69.0 ,181,
CMG,Mongol,C116-CMG03,C116-CMG03-01,PacBio Revio,54.0 ,18.0 ,PromethION,R10.4.1,130.1 ,90 ,59.3 ,171,
CMG,Mongol,C117-CMG04,C117-CMG04-01,PacBio Revio,53.3 ,18.5 ,PromethION,R10.4.1,166.8 ,81 ,68.7 ,166,
CMG,Mongol,C118-CMG05,C118-CMG05-01,PacBio Revio,47.3 ,19.7 ,PromethION,R10.4.1,148.8 ,97 ,72.7 ,183,
CKZ,Kazakh,C119-CKZ01,C119-CKZ01-01,PacBio Revio,49.0 ,18.1 ,PromethION,R10.4.1,199.0 ,67 ,70.3 ,165,
CKZ,Kazakh,C120-CKZ02,C120-CKZ02-01,PacBio Revio,51.0 ,19.2 ,PromethION,R10.4.1,181.1 ,72 ,69.0 ,171,
CKZ,Kazakh,C121-CKZ03,C121-CKZ03-01,PacBio Revio,47.0 ,19.3 ,PromethION,R10.4.1,156.3 ,87 ,70.0 ,177,
CKZ,Kazakh,C122-CKZ04,C122-CKZ04-01,PacBio Revio,46.7 ,20.4 ,PromethION,R10.4.1,156.3 ,96 ,75.7 ,183,
CKZ,Kazakh,C123-CKZ05,C123-CKZ05-01,PacBio Revio,57.3 ,17.6 ,PromethION,R10.4.1,79.3 ,80 ,32.7 ,168,
CKZ,Kazakh,C152-CKZ06,C152-CKZ06-01,PacBio Revio,53.0 ,17.6 ,PromethION,R10.4.1,127.8 ,97 ,62.7 ,186,
CZH,Zhuang,C124-CZH01,C124-CZH01-01,PacBio Sequel II,55.3 ,17.4 ,PromethION,R9.4.1,105.4 ,96 ,51.0 ,173,
CZH,Zhuang,C125-CZH02,C125-CZH02-01,PacBio Sequel II,49.0 ,17.4 ,PromethION,R9.4.1,120.4 ,99 ,60.0 ,174,
CZH,Zhuang,C126-CZH03,C126-CZH03-01,PacBio Sequel II,49.3 ,17.9 ,PromethION,R9.4.1,112.8 ,98 ,55.3 ,171,
CZH,Zhuang,C127-CZH04,C127-CZH04-01,PacBio Sequel II,51.3 ,17.4 ,PromethION,R9.4.1,140.3 ,86 ,61.3 ,168,
CZH,Zhuang,C128-CZH05,C128-CZH05-01,PacBio Sequel II,47.7 ,17.2 ,PromethION,R9.4.1,104.4 ,116 ,59.0 ,186,
CYI,Yi,C129-CYI01,C129-CYI01-01,PacBio Revio,48.3 ,19.7 ,PromethION,R10.4.1,189.5 ,71 ,70.3 ,167,
CYI,Yi,C130-CYI02,C130-CYI02-01,PacBio Revio,51.3 ,18.5 ,PromethION,R10.4.1,119.1 ,111 ,64.3 ,194,
CYI,Yi,C131-CYI03,C131-CYI03-01,PacBio Revio,50.3 ,19.8 ,PromethION,R10.4.1,141.1 ,97 ,69.0 ,182,
CMH,Miao,C134-CMH01,C134-CMH01-01,PacBio Revio,44.3 ,19.4 ,PromethION,R10.4.1,158.9 ,95 ,76.0 ,182,
CMH,Miao,C135-CMH02,C135-CMH02-01,PacBio Revio,50.7 ,20.2 ,PromethION,R10.4.1,46.2 ,95 ,22.3 ,184,
CMH,Miao,C136-CMH03,C136-CMH03-01,PacBio Revio,49.0 ,20.7 ,PromethION,R10.4.1,152.9 ,100 ,76.3 ,189,
CMH,Miao,C137-CMH04,C137-CMH04-01,PacBio Revio,52.3 ,18.0 ,PromethION,R10.4.1,146.4 ,99 ,72.7 ,191,
CMH,Miao,C138-CMH05,C138-CMH05-01,PacBio Revio,49.3 ,18.5 ,PromethION,R10.4.1,140.9 ,103 ,72.0 ,187,
CBY,Bouyei,C139-CBY01,C139-CBY01-01,PacBio Revio,52.0 ,16.6 ,PromethION,R10.4.1,142.2 ,102 ,72.0 ,189,
CBY,Bouyei,C140-CBY02,C140-CBY02-01,PacBio Revio,51.3 ,17.7 ,PromethION,R10.4.1,154.6 ,109 ,82.3 ,196,
CBY,Bouyei,C141-CBY03,C141-CBY03-01,PacBio Revio,51.0 ,17.5 ,PromethION,R10.4.1,136.3 ,110 ,73.0 ,198,
CHU,Hui,C142-CHU01,C142-CHU01-01,PacBio Revio,50.3 ,19.1 ,PromethION,R10.4.1,158.0 ,90 ,72.0 ,174,
